"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"37","Calum Chambers","40","DEF","Aston Villa","0","220","0","203","0","267","0","77","0","false","0","","1708","0","0","0","0","0.5","0","0","0","76","0","0","0","83","","564","0","0","Chambers","0","2552","49","0","0","83","1.5","0","1708","0","165","a","0","0","0","0","214","0","0","2552","1","0","0","138","","0","73","157","267","0","0","0","50","0","0","0"
"38","Philippe Coutinho Correia","60","MID","Aston Villa","1","190","0","139","0","239","4","263","0.65","false","1","","1570","0","0.01","19.5","0","1.7","4","30","0.3","89","2.4","0","0","112","","61","0.09","2","Coutinho","0","3124","67","0.08","0","112","0.6","0.5","1570","2.7","108","a","1","0.2","0","1","631","0","0","3124","2.2","1","3","210","5.0","0.2","80","37","239","0","0","1.8","60","0","0","3"
"39","Keinan Davis","50","FWD","Aston Villa","0","555","0","549","0","571","0","51","0","false","0","","1104","0","0","0","0","0.9","0","0","0","52","0","0","0","60","","249","0","0","Davis","0","1531","50","0","0","60","0.3","0","1104","0","541","a","0","0","0","0","551","0","0","1531","1.4","0","0","284","","0","51","49","571","0","0","0","52","0","0","0"
"40","Leander Dendoncker","50","MID","Aston Villa","0","519","0","513","0","545","0","191","0","false","0","Muscle injury - Unknown return date","6","0","0","0","0","0","0","0","0","195","0","0","0","210","2023-08-10 15:00:04.947","199","0","0","Dendoncker","0","386","231","0","0","210","0","0","6","0","501","i","0","0","0","0","515","0","0","386","0","0","0","580","","0","194","126","545","0","0","0","183","0","0","0"
"41","Diego Carlos Santos Silva","45","DEF","Aston Villa","0","70","9.4","168","0","394","37","55","1.64","false","2","","1597","0","0","5.68","0","1.5","0","6.92","0","18","0.93","0","0","162","","370","0.27","0","Diego Carlos","0","2111","83","0.27","0","162","0.5","4.7","1597","0.93","14","a","0","0","0","0","127","0","0","2111","2","0","6","231","","0","60","77","394","0","0","0.4","2","0","0","26"
"42","Lucas Digne","45","DEF","Aston Villa","-1","45","13.2","9","0","656","2","41","3.44","false","5","","3909","1","0.15","3.44","1","1.5","2","5","0.15","10","0","0","0","216","","339","0.15","0","Digne","0","2757","53","0","0","216","1.2","6","3909","0.15","115","a","-1","-0.2","0","-1","99","0","0","2757","2","-1","13","152","3.0","-0.2","3","57","656","0","0","45.2","33","0","1","90"
"43","Douglas Luiz Soares de Paulo","55","MID","Aston Villa","1","57","9.4","42","0","234","19","50","3.44","false","5","","1589","1","0.15","3.44","1","1.6","1","5","0.15","32","0.19","0","0","108","","128","0.34","0","Douglas Luiz","0","12029","41","0.19","0","108","2.9","5.1","1589","0.34","44","a","1","0.2","0","1","129","0","0","12029","2.1","1","10","108","1.0","0.2","28","81","234","0","0","22.3","23","0","1","90"
"44","Jhon Durán","50","FWD","Aston Villa","0","580","0","574","0","589","0","60","0","false","0","Muscle injury - Expected back 03 Sep","27","0","0","0","0","0","0","0","0","61","0","0","0","66","2023-08-10 15:00:04.972","288","0","0","Duran","0","559","75","0","0","66","0","0","27","0","568","i","0","0","0","0","575","0","0","559","0","0","0","525","","0","60","58","589","0","0","0","61","0","0","0"
"45","Kortney Hause","40","DEF","Aston Villa","0","234","0","217","0","281","0","85","0","false","0","","320","0","0","0","0","0.5","0","0","0","84","0","0","0","91","","578","0","0","Hause","0","531","127","0","0","91","0.2","0","320","0","179","a","0","0","0","0","228","0","0","531","1","0","0","331","","0","81","165","281","0","0","0","58","0","0","0"
"46","Tim Iroegbunam","45","MID","Aston Villa","0","457","0","450","0","493","0","147","0","false","0","Muscle injury - Unknown return date","29","0","0","0","0","0","0","0","0","151","0","0","0","172","2023-08-10 15:00:04.998","515","0","0","Iroegbunam","0","393","199","0","0","172","0","0","29","0","433","i","0","0","0","0","452","0","0","393","0","0","0","533","","0","150","258","493","0","0","0","136","0","0","0"
"47","Boubacar Kamara","50","MID","Aston Villa","2","95","4.8","50","0","124","7","72","3.44","false","5","","415","0","0.02","3.44","1","1.1","0","5","0.02","51","0.03","0","0","49","","256","0.05","0","Kamara","0","429","149","0.03","0","49","0.1","3.1","415","0.05","85","a","2","0.4","0","2","160","0","0","429","1.6","2","10","437","","0.4","34","165","124","0","0","19.3","49","0","1","90"
"48","Ezri Konsa Ngoyo","45","DEF","Aston Villa","0","160","13.2","144","0","412","0","43","3.44","false","5","","1480","0","0.01","3.44","1","1.5","0","5","0.01","61","0","0","0","174","","397","0.01","0","Konsa","0","2457","52","0","0","174","1.2","1.5","1480","0.01","334","a","0","0","0","0","101","0","0","2457","2","0","16","151","","0","47","97","412","0","0","1.3","155","0","1","90"
"49","Emiliano Martínez Romero","50","GKP","Aston Villa","1","73","45.6","501","0","207","0","2","3.44","false","5","","9991","1","0","3.44","1","2.7","0","5","0","2","0","0","0","17","","180","0","0","Martinez","0","15582","9","0","0","17","8.1","4.6","9991","0","488","a","1","0.2","7","1","11","0","0","15582","3.2","1","18","45","","0.2","67","5","207","7","0","0","67","0","1","90"
