"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"130","Julio Enciso","55","MID","Brighton","1","627","0","625","0","236","0","259","0.25","false","0","","3660","0","0","11.25","0","2.6","0","0","0","263","0","0","0","110","","142","0","0","Enciso","0","23115","29","0","0","110","4.1","0","3660","0","623","a","1","0.2","0","1","623","0","0","23115","2.1","1","2","85","","0.2","262","91","236","0","0","0","260","0","0","2"
"131","Pervis Estupiñán","50","DEF","Brighton","7","1","46","4","0","22","35","2","1.45","false","1","","91958","1","0.86","1.45","1","2.8","0","1","0.86","1","0.11","0","3","9","","232","0.97","0","Estupiñan","0","11511","1","0.11","0","9","53.6","16","91958","0.97","18","a","7","1.4","0","7","10","1","0","11511","2.3","7","34","3","","1.4","1","24","22","0","0","79.3","3","0","1","90"
"132","Evan Ferguson","60","FWD","Brighton","5","26","32.2","99","1","46","37","8","1.04","false","1","","14590","0","0.03","7.8","0","2.6","0","7.5","0.22","10","6.68","0","0","10","","80","0.92","0","Ferguson","0","18836","9","0.89","0","10","6.8","8","14590","6.9","15","a","5","0.8","0","5","29","0","0","18836","2.1","5","25","52","","0.8","9","26","46","0","0","10.6","8","0","0","12"
"133","Billy Gilmour","50","MID","Brighton","1","144","6","114","0","220","7","66","1.04","false","1","","157","0","0.05","5.85","0","2.1","0","5.62","0.28","69","0.11","0","0","97","","264","0.07","0","Gilmour","0","457","141","0.02","0","97","0.1","1.8","157","0.39","86","a","1","0.2","0","1","153","0","0","457","1.6","1","4","426","","0.2","70","169","220","0","0","5","50","0","0","16"
"134","Pascal Groß","65","MID","Brighton","2","9","29","5","0","148","34","13","1.45","false","1","","1754","0","0.47","1.45","1","2.8","0","1","0.47","5","0.49","0","0","67","","41","0.96","2","Gross","0","14825","28","0.49","0","67","4.3","13.6","1754","0.96","23","a","2","0.3","0","2","38","0","0","14825","2.3","2","18","81","1.0","0.3","3","25","148","0","0","73.4","9","0","1","90"
"135","João Pedro Junqueira de Jesus","55","FWD","Brighton","7","628","0","626","1","26","0","73","1.2","false","1","","80707","0","0.03","1.24","1","2.4","0","1.03","0.03","73","1.34","0","1","7","","143","1.33","1","João Pedro","0","15549","2","1.3","0","7","26.2","0","80707","1.37","624","a","7","1.3","0","7","624","0","0","15549","1.9","7","26","12","","1.3","72","38","26","0","0","0","73","0","1.03","87"
"136","Michał Karbownik","40","DEF","Brighton","0","284","0","268","0","330","0","117","0","false","0","Permanent transfer to Hertha BSC","0","0","0","0","0","0","0","0","0","116","0","0","0","122","2023-08-09 08:35:32.699","629","0","0","Karbownik","0","474","196","0","0","122","0","0","0","0","230","u","0","0","0","0","278","0","0","474","0","0","0","544","","0","113","197","330","0","0","0","90","0","0","0"
"137","Kacper Kozłowski","45","MID","Brighton","0","450","0","443","0","487","0","144","0","false","0","Joined vitesse on a season long loan","0","0","0","0","0","0","0","0","0","148","0","0","0","169","2023-07-20 08:40:22.941","507","0","0","Kozłowski","0","31","273","0","0","169","0","0","0","0","426","u","0","0","0","0","445","0","0","31","0","0","0","650","","0","147","255","487","0","0","0","133","0","0","0"
"138","Adam Lallana","50","MID","Brighton","0","488","0","481","0","519","0","167","0","false","0","Knock - 75% chance of playing","19","0","0","0","0","1.6","0","0","0","171","0","75","0","190","2023-08-11 13:30:06.325","151","0","0","Lallana","0","735","166","0","0","190","0.1","0","19","0","466","d","0","0","0","0","483","0","0","735","1.2","0","0","477","","0","170","95","519","0","0","0","158","75","0","0"
"139","Tariq Lamptey","40","DEF","Brighton","0","265","0","249","0","312","0","101","0","false","0","","6922","0","0","0","0","1.5","0","0","0","100","0","0","0","107","","610","0","0","Lamptey","0","19071","18","0","0","107","7.6","0","6922","0","211","a","0","0","0","0","259","0","0","19071","1","0","0","50","","0","97","181","312","0","0","0","74","0","0","0"
"140","Solly March","65","MID","Brighton","9","18","44.2","37","1","10","36","5","0.41","true","0","","28341","0","0.02","0.51","1","2.8","2","0","0.02","9","0.68","0","1","4","","43","0.57","0","March","1","3733","40","0.55","1.23","4","3","10.4","28341","0.7","17","a","9","1.4","0","9","13","0","1","3733","2.3","9","26","106","2.0","1.4","26","26","10","0","0","23.4","6","0","1.23","73"
"141","Tom McGill","40","GKP","Brighton","0","256","0","239","0","303","0","41","0","false","0","","420","0","0","0","0","1.5","0","0","0","41","0","0","0","46","","600","0","0","McGill","0","449","48","0","0","46","0.3","0","420","0","201","a","0","0","0","0","250","0","0","449","1","0","0","301","","0","30","58","303","0","0","0","29","0","0","0"
"142","James Milner","50","MID","Brighton","3","169","7.6","121","0","65","0","61","0.41","false","0","","822","0","0.02","0.47","1","2.1","0","0","0.02","77","0","0","0","24","","149","0.02","0","Milner","1","761","89","0","1.15","24","0.2","1.1","822","0.02","464","a","3","0.6","0","3","144","0","0","761","1.6","3","16","311","","0.6","73","94","65","0","0","3.2","157","0","1.15","78"
"143","Kaoru Mitoma","65","MID","Brighton","5","14","28.6","6","0","47","22","14","1.45","false","1","","43341","1","0.62","1.45","1","2.8","0","1","0.62","7","0.02","0","1","15","","54","0.64","0","Mitoma","0","26440","3","0.02","0","15","38.7","11.3","43341","0.64","40","a","5","0.8","0","5","39","1","0","26440","2.3","5","26","5","","0.8","4","33","47","0","0","61.9","19","0","1","90"
"144","Jakub Moder","45","MID","Brighton","0","406","0","398","0","446","0","117","0","false","0","","212","0","0","0","0","1.5","0","0","0","121","0","0","0","143","","450","0","0","Moder","0","380","162","0","0","143","0.1","0","212","0","379","a","0","0","0","0","400","0","0","380","1","0","0","468","","0","119","223","446","0","0","0","105","0","0","0"
"146","Jeremy Sarmiento Morante","45","MID","Brighton","0","427","0","420","0","464","0","128","0","false","0","Joined West Bromwich Albion on a season-long loan","0","0","0","0","0","0","0","0","0","132","0","0","0","153","2023-07-26 11:28:45.117","476","0","0","Sarmiento","0","350","233","0","0","153","0","0","0","0","401","u","0","0","0","0","422","0","0","350","0","0","0","583","","0","131","235","464","0","0","0","117","0","0","0"
"147","Kjell Scherpen","40","GKP","Brighton","0","270","0","254","0","317","0","48","0","false","0","Joined Sturm Graz on a season-long loan","0","0","0","0","0","0","0","0","0","48","0","0","0","53","2023-07-06 16:30:02.985","615","0","0","Scherpen","0","8","75","0","0","53","0","0","0","0","216","u","0","0","0","0","264","0","0","8","0","0","0","656","","0","38","66","317","0","0","0","37","0","0","0"
"148","Jason Steele","45","GKP","Brighton","2","124","22.2","299","0","84","0","6","1.45","false","1","","5735","0","0","1.45","1","2.9","0","1","0","7","0","0","0","10","","313","0","0","Steele","0","6160","11","0","0","10","5.9","2.2","5735","0","265","a","2","0.4","2","2","51","0","0","6160","2.4","2","18","62","","0.4","51","14","84","2","0","0","50","0","1","90"
"149","Deniz Undav","55","FWD","Brighton","0","626","0","624","0","630","0","72","0","false","0","Season long loan to Stuttgart","0","0","0","0","0","0","0","0","0","72","0","0","0","76","2023-08-04 09:40:56.708","141","0","0","Undav","0","1303","72","0","0","76","0.1","0","0","0","622","u","0","0","0","0","622","0","0","1303","0","0","0","509","","0","71","37","630","0","0","0","72","0","0","0"
"150","Jan Paul van Hecke","40","DEF","Brighton","2","58","32.2","163","0","81","17","7","1.45","false","1","","20171","0","0","1.45","1","1.5","0","1","0","13","0.02","0","0","23","","638","0.02","0","Van Hecke","0","3734","51","0.02","0","23","1.4","5","20171","0.02","46","a","2","0.5","0","2","28","0","0","3734","1","2","19","144","","0.5","55","203","81","0","0","0.5","8","0","1","90"
"151","Joël Veltman","45","DEF","Brighton","1","200","0.2","170","0","171","0","70","1.04","false","1","","897","0","0","8.51","0","2.5","0","8.18","0","70","0","0","0","57","","349","0","0","Veltman","0","4119","56","0","0","57","1.2","0.1","897","0","295","a","1","0.2","0","1","193","0","0","4119","2","1","2","158","","0.2","62","65","171","0","0","0.3","131","0","0","11"
"152","Bart Verbruggen","45","GKP","Brighton","0","456","0","449","0","492","0","70","0","false","0","","159","0","0","0","0","2.9","0","0","0","70","0","0","0","71","","514","0","0","Verbruggen","0","2256","33","0","0","71","0.5","0","159","0","432","a","0","0","0","0","451","0","0","2256","2.4","0","0","234","","0","65","29","492","0","0","0","65","0","0","0"
"153","Adam Webster","45","DEF","Brighton","0","336","0","325","0","376","0","151","0","false","0","Knock - 75% chance of playing","42","0","0","0","0","1.9","0","0","0","149","0","75","0","152","2023-08-11 13:30:06.362","347","0","0","Webster","0","2596","104","0","0","152","0.3","0","42","0","293","d","0","0","0","0","331","0","0","2596","1.5","0","0","277","","0","147","64","376","0","0","0","130","75","0","0"
"154","Danny Welbeck","60","FWD","Brighton","2","82","3.8","132","0","142","33","16","0.41","false","0","","4802","0","0.1","0.48","1","2.6","0","0","0.12","13","0.36","0","0","21","","57","0.41","3","Welbeck","1","11694","20","0.31","1.17","21","2.5","3.9","4802","0.48","26","a","2","0.3","0","2","164","0","0","11694","2.1","2","5","113","","0.3","14","20","142","0","0","1.9","11","0","1.17","77"
"155","Andi Zeqiri","45","FWD","Brighton","0","374","0","363","0","415","0","22","0","false","0","","4310","0","0","0","0","1.5","0","0","0","25","0","0","0","37","","401","0","0","Zeqiri","0","5716","29","0","0","37","1.3","0","4310","0","338","a","0","0","0","0","368","0","0","5716","1","0","0","148","","0","24","65","415","0","0","0","25","0","0","0"
"606","Igor Julio dos Santos de Paulo","45","DEF","Brighton","0","390","0","381","0","430","0","181","0","false","0","","207","0","0","0","0","2.5","0","0","0","180","0","0","0","184","","428","0","0","Igor","0","724","151","0","0","184","0.1","0","207","0","360","a","0","0","0","0","384","0","0","724","2","0","0","393","","0","179","117","430","0","0","0","171","0","0","0"
"621","Jack Hinshelwood","45","MID","Brighton","0","476","0","469","0","510","0","159","0","false","0","","49","0","0","0","0","1.5","0","0","0","163","0","0","0","183","","535","0","0","Hinshelwood","0","52","251","0","0","183","0","0","49","0","453","a","0","0","0","0","471","0","0","52","1","0","0","613","","0","162","271","510","0","0","0","149","0","0","0"
"156","Enock Agyei","45","MID","Burnley","0","485","0","478","0","516","0","165","0","false","0","","473","0","0","0","0","-0.5","0","0","0","169","0","0","0","188","","544","0","0","Agyei","0","941","104","0","0","188","0.2","0","473","0","462","a","0","0","0","0","480","0","0","941","0","0","0","341","","0","168","277","516","0","0","0","155","0","0","0"
"157","Ameen Al-Dakhil","40","DEF","Burnley","1","300","0","284","0","165","0","128","2.21","false","3","","3244","0","0.01","2.21","1","-0.5","0","3","0.01","126","0","0","0","52","","649","0.01","0","Al-Dakhil","0","1355","78","0","0","52","0.6","0","3244","0.01","248","a","1","0.2","0","1","295","0","0","1355","0","1","12","218","","0.2","123","211","165","0","0","0","102","0","1","90"
"158","Samuel Bastien","50","MID","Burnley","0","538","0","532","0","556","0","206","0","false","0","","55","0","0","0","0","0.1","0","0","0","210","0","0","0","219","","224","0","0","Bastien","0","224","208","0","0","219","0","0","55","0","521","a","0","0","0","0","534","0","0","224","0","0","0","546","","0","209","147","556","0","0","0","199","0","0","0"
"159","Manuel Benson Hedilazio","55","MID","Burnley","1","610","0","608","0","230","0","246","1.2","false","1","","174","0","0","6.75","0","0.6","0","5.62","0","250","0","0","0","105","","111","0","0","Benson","0","1166","102","0","0","105","0.2","0","174","0","604","a","1","0.2","0","1","606","0","0","1166","0","1","-1","339","3.0","0.2","249","68","230","0","0","0","245","0","0","16"
"160","Jordan Beyer","40","DEF","Burnley","1","271","0","255","0","161","0","105","1.01","false","2","","4150","0","0","1.25","1","-0.5","0","2.47","0","104","0","0","0","48","","616","0","0","Beyer","0","4185","26","0","0","48","4.8","0","4150","0","217","a","1","0.2","0","1","265","0","0","4185","0","1","18","76","","0.2","101","185","161","0","0","0","78","0","1.23","73"
"161","Josh Brownhill","50","MID","Burnley","1","529","0","523","0","210","0","200","0.12","false","0","","211","0","0","10.8","0","0.1","3","0","0","204","0","0","0","90","","214","0","0","Brownhill","0","1512","83","0","0","90","0.3","0","211","0","511","a","1","0.2","0","1","525","0","0","1512","0","1","3","278","1.0","0.2","203","140","210","0","0","0","192","0","0","1"
"162","Darko Churlinov","45","MID","Burnley","0","415","0","407","0","455","0","123","0","false","0","","61","0","0","0","0","-0.5","0","0","0","127","0","0","0","149","","461","0","0","Churlinov","0","187","198","0","0","149","0","0","61","0","388","a","0","0","0","0","409","0","0","187","0","0","0","532","","0","125","229","455","0","0","0","111","0","0","0"
"163","Jack Cork","50","MID","Burnley","0","489","0","482","0","520","0","168","0","false","0","","36","0","0","0","0","0.1","0","0","0","172","0","0","0","191","","152","0","0","Cork","0","202","211","0","0","191","0","0","36","0","467","a","0","0","0","0","484","0","0","202","0","0","0","550","","0","171","96","520","0","0","0","159","0","0","0"
"164","Dara Costelloe","45","MID","Burnley","0","474","0","467","0","508","0","158","0","false","0","","52","0","0","0","0","-0.5","0","0","0","162","0","0","0","182","","533","0","0","Costelloe","0","152","200","0","0","182","0","0","52","0","451","a","0","0","0","0","469","0","0","152","0","0","0","534","","0","161","270","508","0","0","0","148","0","0","0"
"165","Josh Cullen","50","MID","Burnley","2","528","0","522","0","116","0","199","2.21","false","3","","377","0","0.01","2.21","1","0.1","0","3","0.01","203","0","0","0","44","","213","0.01","0","Cullen","0","249","161","0","0","44","0.1","0","377","0.01","510","a","2","0.4","0","2","524","0","0","249","0","2","12","464","","0.4","202","139","116","0","0","0","191","0","1","90"
"166","CJ Egan-Riley","40","DEF","Burnley","0","277","0","261","0","323","0","110","0","false","0","","71","0","0","0","0","-0.5","0","0","0","109","0","0","0","115","","622","0","0","Egan-Riley","0","500","149","0","0","115","0.2","0","71","0","223","a","0","0","0","0","271","0","0","500","0","0","0","386","","0","106","190","323","0","0","0","83","0","0","0"
"167","Hjalmar Ekdal","40","DEF","Burnley","0","295","0","279","0","341","0","125","0","false","0","","134","0","0","0","0","-0.5","0","0","0","123","0","0","0","129","","643","0","0","Ekdal","0","645","117","0","0","129","0.2","0","134","0","242","a","0","0","0","0","290","0","0","645","0","0","0","305","","0","120","207","341","0","0","0","98","0","0","0"
"168","Lyle Foster","50","FWD","Burnley","2","572","0","566","0","127","0","58","2.09","false","3","","3045","0","0.04","2.09","1","-0.1","0","3","0.04","59","0.14","0","0","18","","272","0.18","0","Foster","0","1591","48","0.14","0","18","0.3","0","3045","0.18","560","a","2","0.4","0","2","567","0","0","1591","0","2","5","270","","0.4","58","56","127","0","0","0","59","0","1","90"
"169","Denis Franchi","40","GKP","Burnley","0","301","0","285","0","346","0","56","0","false","0","","152","0","0","0","0","-0.5","0","0","0","56","0","0","0","61","","650","0","0","Franchi","0","329","55","0","0","61","0.2","0","152","0","249","a","0","0","0","0","296","0","0","329","0","0","0","364","","0","46","74","346","0","0","0","45","0","0","0"
"170","Jóhann Berg Gudmundsson","50","MID","Burnley","0","495","0","488","0","526","0","173","0","false","0","","12","0","0","0","0","0.1","2","0","0","177","0","0","0","196","","162","0","0","Gudmundsson","0","291","191","0","0","196","0","0","12","0","474","a","0","0","0","0","490","0","0","291","0","0","0","520","2.0","0","176","102","526","0","0","0","164","0","0","0"
"171","Luke McNally","40","DEF","Burnley","0","298","0","282","0","344","0","127","0","false","0","Season long loan to Stoke City","0","0","0","0","0","0","0","0","0","125","0","0","0","131","2023-08-04 09:35:51.951","647","0","0","McNally","0","310","200","0","0","131","0","0","0","0","246","u","0","0","0","0","293","0","0","310","0","0","0","565","","0","122","210","344","0","0","0","101","0","0","0"
"172","Arijanet Muric","45","GKP","Burnley","0","397","0","389","0","439","0","68","0","false","0","","77","0","0","0","0","0.9","0","0","0","68","0","0","0","70","","440","0","0","Muric","0","1410","43","0","0","70","0.3","0","77","0","370","a","0","0","0","0","391","0","0","1410","0","0","0","283","","0","63","27","439","0","0","0","63","0","0","0"
"173","Dara O'Shea","45","DEF","Burnley","1","381","0","372","0","179","0","177","2.21","false","3","","367","0","0","2.21","1","0.5","0","3","0","176","0","0","0","64","","415","0","0","O'Shea","0","540","119","0","0","64","0.2","0","367","0","349","a","1","0.2","0","1","375","0","0","540","0","1","12","307","","0.2","175","109","179","0","0","0","165","0","1","90"
"174","Michael Obafemi","50","FWD","Burnley","0","554","0","548","0","570","0","50","0","false","0","Hamstring injury - Unknown return date","38","0","0","0","0","0","0","0","0","51","0","0","0","59","2023-08-06 23:30:05.563","248","0","0","Obafemi","0","624","73","0","0","59","0.1","0","38","0","540","i","0","0","0","0","550","0","0","624","0","0","0","510","","0","50","48","570","0","0","0","51","0","0","0"
"175","Bailey Peacock-Farrell","40","GKP","Burnley","0","261","0","244","0","308","0","44","0","false","0","Joined Aarhus on loan","0","0","0","0","0","0","0","0","0","44","0","0","0","49","2023-07-26 11:25:50.410","605","0","0","Peacock-Farrell","0","131","68","0","0","49","0","0","0","0","206","u","0","0","0","0","255","0","0","131","0","0","0","590","","0","33","61","308","0","0","0","32","0","0","0"
"176","Connor Roberts","45","DEF","Burnley","1","365","0","354","0","174","0","165","2.21","false","3","","304","0","0.01","2.21","1","0.5","0","3","0.01","163","0","0","0","60","","389","0.01","0","Roberts","0","787","96","0","0","60","0.3","0","304","0.01","328","a","1","0.2","0","1","360","0","0","787","0","1","10","262","","0.2","161","89","174","0","0","0","149","0","1","90"
"177","Jay Rodriguez","55","FWD","Burnley","0","596","0","590","0","602","0","64","0","false","0","","552","0","0","0","0","0.4","0","0","0","65","0","0","0","70","","81","0","1","Rodriguez","0","2467","51","0","0","70","0.3","0","552","0","584","a","0","0","0","0","591","0","0","2467","0","0","0","292","","0","64","27","602","0","0","0","65","0","0","0"
"178","Charlie Taylor","40","DEF","Burnley","0","222","0","205","0","269","0","78","0","false","0","","1013","0","0","0","0","-0.5","0","0","0","77","0","0","0","84","","566","0","0","Taylor","0","2561","62","0","0","84","1","0","1013","0","167","a","0","0","0","0","216","0","0","2561","0","0","0","174","","0","74","158","269","0","0","0","51","0","0","0"
"179","Bobby Thomas","40","DEF","Burnley","0","289","0","273","0","335","0","120","0","false","0","Permanent transfer to Coventry","0","0","0","0","0","0","0","0","0","119","0","0","0","125","2023-07-24 09:55:44.165","634","0","0","Thomas","0","211","204","0","0","125","0","0","0","0","235","u","0","0","0","0","283","0","0","211","0","0","0","576","","0","116","200","335","0","0","0","93","0","0","0"
"180","Scott Twine","50","MID","Burnley","0","558","0","553","0","573","0","217","0","false","0","","33","0","0","0","0","0.1","1","0","0","221","0","0","0","228","","254","0","0","Twine","0","292","210","0","0","228","0","0","33","0","545","a","0","0","0","0","554","0","0","292","0","0","0","549","","0","220","164","573","0","0","0","212","0","0","0"
"181","Lawrence Vigouroux","40","GKP","Burnley","0","235","0","218","0","282","0","32","0","false","0","","311","0","0","0","0","-0.5","0","0","0","32","0","0","0","37","","579","0","0","Vigouroux","0","430","49","0","0","37","0.3","0","311","0","180","a","0","0","0","0","229","0","0","430","0","0","0","302","","0","21","49","282","0","0","0","20","0","0","0"
"182","Victor da Silva","45","DEF","Burnley","1","428","0","421","0","189","0","194","2.21","false","3","","423","0","0.03","2.21","1","0.5","0","3","0.03","193","0","0","0","72","","477","0.03","0","Vitinho","0","430","130","0","0","72","0.2","0","423","0.03","402","a","1","0.2","0","1","423","0","0","430","0","1","6","338","","0.2","193","139","189","0","0","0","187","0","1","90"
"183","Wout Weghorst","55","FWD","Burnley","0","601","0","597","0","608","0","66","0","false","0","On loan to Hoffenheim","0","0","0","0","0","0","0","0","0","66","0","0","0","71","2023-08-10 13:52:51.426","92","0","0","Weghorst","0","4471","58","0","0","71","0.2","0","0","0","592","u","0","0","0","0","597","0","0","4471","0","0","0","368","","0","65","29","608","0","0","0","66","0","0","0"
"184","Anass Zaroury","50","MID","Burnley","-2","588","0","582","0","658","0","233","1.37","false","1","Suspended until 18 Sep","41","0","0.06","4.11","0","0.1","0","3","0.18","237","0.12","0","0","278","2023-08-12 08:00:06.224","296","0.1","0","Zaroury","0","1905","137","0.04","0","278","0.1","0","41","0.3","576","s","-2","-0.4","0","-2","583","0","0","1905","0","-2","-6","416","","-0.4","235","191","658","0","1","0","229","0","0","30"
"475","Sander Berge","50","MID","Burnley","2","547","0","541","0","120","0","212","2.09","false","3","","761","0","0","2.09","1","0.1","0","3","0","216","0","0","0","46","","237","0","0","Berge","0","796","105","0","0","46","0.2","0","761","0","532","a","2","0.4","0","2","543","0","0","796","0","2","5","343","","0.4","215","155","120","0","0","0","207","0","1","90"
"594","Zeki Amdouni","55","FWD","Burnley","2","629","0","627","0","139","0","74","0.96","false","2","","971","0","0","1.44","1","0.4","0","3","0","74","0.04","0","0","19","","144","0.03","0","Amdouni","0","888","60","0.03","0","19","0.2","0","971","0.04","625","a","2","0.4","0","2","625","0","0","888","0","2","8","381","","0.4","73","39","139","0","0","0","74","0","1.5","60"
"596","James Trafford","45","GKP","Burnley","2","419","0","412","0","100","0","69","2.21","false","3","","2648","0","0","2.21","1","0.9","0","3","0","69","0","0","0","15","","466","0","0","Trafford","0","1791","21","0","0","15","1.1","0","2648","0","393","a","2","0.4","5","2","413","0","0","1791","0","2","22","162","","0.4","64","28","100","5","0","0","64","0","1","90"
"600","Nathan Redmond","50","MID","Burnley","1","501","0","494","0","206","0","177","0.12","false","0","","40","0","0","10.8","0","0.1","0","0","0","181","0","0","0","89","","170","0","0","Redmond","0","276","178","0","0","89","0.1","0","40","0","480","a","1","0.2","0","1","496","0","0","276","0","1","3","495","","0.2","180","108","206","0","0","0","168","0","0","1"
"605","Luca Koleosho","50","MID","Burnley","2","583","0","577","0","129","0","229","0.96","false","2","","430","0","0.03","1.44","1","0.1","0","3","0.04","233","0.09","0","0","53","","291","0.09","0","Koleosho","0","153","202","0.06","0","53","0","0","430","0.13","571","a","2","0.4","0","2","578","0","0","153","0","2","4","536","","0.4","231","187","129","0","0","0","225","0","1.5","60"
"608","Jacob Bruun Larsen","50","MID","Burnley","1","533","0","527","0","211","0","202","1.25","false","1","","37","0","0.01","3.88","0","0.1","0","3.1","0.03","206","0.06","0","0","91","","218","0.03","0","Bruun Larsen","0","97","236","0.02","0","91","0","0","37","0.09","515","a","1","0.2","0","1","529","0","0","97","0","1","0","588","","0.2","205","142","211","0","0","0","194","0","0","29"
"622","Owen Dodgson","40","DEF","Burnley","0","290","0","274","0","336","0","121","0","false","0","","67","0","0","0","0","-0.5","0","0","0","120","0","0","0","126","","635","0","0","Dodgson","0","141","190","0","0","126","0","0","67","0","236","a","0","0","0","0","284","0","0","141","0","0","0","518","","0","117","201","336","0","0","0","94","0","0","0"
"145","Robert Sánchez","45","GKP","Chelsea","2","163","13.6","370","0","97","0","11","1.28","false","1","","14469","0","0","1.28","1","1.9","0","1","0","11","0","0","0","14","","411","0","0","Sanchez","0","5087","15","0","0","14","3","1.4","14469","0","345","a","2","0.4","0","2","94","0","0","5087","2.4","2","9","107","","0.4","61","25","97","0","0","0","61","0","1","90"
"185","Ethan Ampadu","40","DEF","Chelsea","0","250","0","233","0","297","0","94","0","false","0","Permanent transfer to Leeds Utd","0","0","0","0","0","0","0","0","0","93","0","0","0","100","2023-07-20 08:39:43.633","594","0","0","Ampadu","0","150","208","0","0","100","0","0","0","0","195","u","0","0","0","0","244","0","0","150","0","0","0","602","","0","90","174","297","0","0","0","67","0","0","0"
"186","Andrey Nascimento dos Santos","45","MID","Chelsea","0","477","0","470","0","511","0","160","0","false","0","","408","0","0","0","0","0.5","0","0","0","164","0","0","0","184","","536","0","0","Andrey","0","604","119","0","0","184","0.2","0","408","0","454","a","0","0","0","0","472","0","0","604","1","0","0","380","","0","163","272","511","0","0","0","150","0","0","0"
"187","Kepa Arrizabalaga","50","GKP","Chelsea","0","513","0","507","0","539","0","72","0","false","0","","1454","0","0","0","0","2.7","0","0","0","72","0","0","0","73","","186","0","0","Arrizabalaga","0","9239","22","0","0","73","1.1","0","1454","0","494","a","0","0","0","0","508","0","0","9239","3.2","0","0","163","","0","68","6","539","0","0","0","68","0","0","0"
"188","Pierre-Emerick Aubameyang","65","FWD","Chelsea","0","641","0","641","0","641","0","79","0","false","0","","0","0","0","0","0","0","0","0","0","79","0","0","0","80","2023-07-24 09:59:36.133","40","0","0","Aubameyang","0","449","76","0","0","80","0","0","0","0","638","u","0","0","0","0","640","0","0","449","0","0","0","542","","0","79","15","641","0","0","0","79","0","0","0"
"189","César Azpilicueta","45","DEF","Chelsea","0","313","0","297","0","358","0","136","0","false","0","Left the club as a free agent","0","0","0","0","0","0","0","0","0","134","0","0","0","139","2023-07-06 16:30:03.010","310","0","0","Azpilicueta","0","34","217","0","0","139","0","0","0","0","262","u","0","0","0","0","308","0","0","34","0","0","0","652","","0","131","39","358","0","0","0","111","0","0","0"
"190","Abdul Rahman Baba","40","DEF","Chelsea","0","231","0","214","0","278","0","83","0","false","0","Permanent Transfer to PAOK","0","0","0","0","0","0","0","0","0","82","0","0","0","89","2023-07-13 08:07:47.494","575","0","0","Baba","0","49","215","0","0","89","0","0","0","0","176","u","0","0","0","0","225","0","0","49","0","0","0","642","","0","79","163","278","0","0","0","56","0","0","0"
"191","Benoît Badiashile","45","DEF","Chelsea","0","405","0","397","0","445","0","188","0","false","0","Hamstring injury - Unknown return date","50","0","0","0","0","0","0","0","0","187","0","0","0","191","2023-08-03 10:30:04.564","449","0","0","B.Badiashile","0","859","188","0","0","191","0.1","0","50","0","378","i","0","0","0","0","399","0","0","859","0","0","0","503","","0","187","130","445","0","0","0","181","0","0","0"
"192","Marcus Bettinelli","40","GKP","Chelsea","0","233","0","216","0","280","0","31","0","false","0","Unknown - Unknown return date","31","0","0","0","0","0","0","0","0","31","0","0","0","36","2023-08-03 10:30:04.581","577","0","0","Bettinelli","0","156","67","0","0","36","0","0","31","0","178","i","0","0","0","0","227","0","0","156","0","0","0","575","","0","20","48","280","0","0","0","19","0","0","0"
"193","Armando Broja","50","FWD","Chelsea","0","575","0","569","0","584","0","59","0","false","0","Knee injury - Unknown return date","90","0","0","0","0","0","0","0","0","60","0","0","0","65","2023-08-03 10:30:04.596","277","0","0","Broja","0","864","67","0","0","65","0.1","0","90","0","563","i","0","0","0","0","570","0","0","864","0","0","0","489","","0","59","57","584","0","0","0","60","0","0","0"
"194","Trevoh Chalobah","45","DEF","Chelsea","0","361","0","350","0","403","0","162","0","false","0","Knock - Unknown return date","46","0","0","0","0","0","0","0","0","160","0","0","0","166","2023-08-11 16:00:07.662","383","0","0","Chalobah","0","3632","134","0","0","166","0.2","0","46","0","324","i","0","0","0","0","356","0","0","3632","0","0","0","347","","0","158","85","403","0","0","0","146","0","0","0"
"195","Ben Chilwell","55","DEF","Chelsea","7","39","25.6","60","0","24","23","13","1.26","false","1","","85713","0","0.23","1.27","1","2.1","0","1.01","0.23","6","0.11","0","2","10","","108","0.34","0","Chilwell","0","7030","11","0.11","0","10","14.1","6.5","85713","0.34","39","a","7","1.3","0","7","44","1","0","7030","2.6","7","24","31","1.0","1.3","14","9","24","0","0","16.6","7","0","1.01","89"
